State,Year,Drug Related Deaths,"Rate per 100,000"
Nebraska,2001,152,8.838052000307005
Nebraska,2002,171,9.89416140328139
Nebraska,2003,180,10.35290165951262
Nebraska,2004,188,10.746725964204256
Nebraska,2005,238,13.511235046099992
Nebraska,2006,234,13.200255204933963
Nebraska,2007,195,10.933925447449871
Nebraska,2008,246,13.69422248546798
Nebraska,2009,252,13.902044648733396
Nebraska,2010,266,14.564640447758661
Nebraska,2011,277,15.03277089785802
Nebraska,2012,316,17.03022055752415
Nebraska,2013,314,16.804779835976785
Nebraska,2014,317,16.84823250348259
Nebraska,2015,334,17.614268612322608
Nebraska,2016,360,18.87667032314762
Nebraska,2017,403,20.988752528545746
Nevada,1999,479,24.758130125423964
Nevada,2000,488,24.421283148263715
Nevada,2001,509,24.256587998755244
Nevada,2002,533,24.519376517797706
Nevada,2003,584,25.968828512350758
Nevada,2004,620,26.425461870189608
Nevada,2005,679,27.917766348442502
Nevada,2006,684,27.114258056383388
Nevada,2007,759,29.18027643986787
Nevada,2008,810,30.52422530646699
Nevada,2009,868,32.331780687720816
Nevada,2010,912,33.77088601548351
Nevada,2011,984,36.13234130962112
Nevada,2012,971,35.19479102594447
Nevada,2013,980,35.12373590391293
Nevada,2014,922,32.47509156954372
Nevada,2015,1060,36.667479577770514
Nevada,2016,1148,39.04684873563719
Nevada,2017,1210,40.359715133792456
New Hampshire,1999,141,11.538329348108942
New Hampshire,2000,134,10.843301348291694
New Hampshire,2001,200,15.92969270826281
New Hampshire,2002,186,14.656182505718668
New Hampshire,2003,231,18.049131141392674
New Hampshire,2004,220,17.052664052441592
New Hampshire,2005,261,20.100239354574384
New Hampshire,2006,260,19.87176596562643
New Hampshire,2007,298,22.70406997120088
New Hampshire,2008,244,18.542357888785368
New Hampshire,2009,291,22.110748255074455
New Hampshire,2010,278,21.117078247130586
New Hampshire,2011,343,26.020449190331618
New Hampshire,2012,310,23.47208109528302
New Hampshire,2013,382,28.863757774135806
New Hampshire,2014,531,40.02071128335342
New Hampshire,2015,605,45.46793646212859
New Hampshire,2016,670,50.194973760015586
New Hampshire,2017,655,48.77885306394498
New Jersey,1999,1225,14.653825210608364
New Jersey,2000,1297,15.414143694997238
New Jersey,2001,1293,15.224892145239112
New Jersey,2002,1374,16.065209315997404
New Jersey,2003,1224,14.23023827975951
New Jersey,2004,1180,13.666010350728891
New Jersey,2005,1443,16.678274807575704
New Jersey,2006,1469,16.959760342076866
New Jersey,2007,1210,13.94348968671514
New Jersey,2008,1311,15.049781370643627
New Jersey,2009,734,8.383204261682978
New Jersey,2010,1450,16.492464536082895
New Jersey,2011,1624,18.410287541710808
New Jersey,2012,1770,19.967082515942643
New Jersey,2013,1882,21.14763804367942
New Jersey,2014,1857,20.77605327709516
New Jersey,2015,2031,22.672438631200915
New Jersey,2016,2714,30.342773841577404
New Jersey,2017,3399,37.742997613496605
New Mexico,1999,556,30.75081771733804
New Mexico,2000,615,33.80893061527856
New Mexico,2001,601,32.81122897433518
New Mexico,2002,610,32.87862021905785
New Mexico,2003,728,38.77343849030717
New Mexico,2004,648,34.03704575251285
New Mexico,2005,699,36.17499381557688
New Mexico,2006,781,39.80354073135566
New Mexico,2007,866,43.516057224117745
New Mexico,2008,968,48.14334781280991
New Mexico,2009,863,42.37034331270295
New Mexico,2010,903,43.85242856497663
New Mexico,2011,1010,48.505828383497644
New Mexico,2012,1000,47.94925817702674
New Mexico,2013,962,46.13273856308508
New Mexico,2014,1075,51.54461222149127
New Mexico,2015,1171,56.160133594934365
New Mexico,2016,1189,57.135580473951414
New Mexico,2017,1165,55.79314869712223
New York,1999,2334,12.360504111562289
New York,2000,2054,10.823938314723344
New York,2001,2447,12.823040262669526
New York,2002,2212,11.558277335952932
New York,2003,2303,12.009842125592911
New York,2004,2124,11.078906591203525
New York,2005,2239,11.702533005167618
New York,2006,3048,15.954246904847311
New York,2007,3075,16.07226718536969
New York,2008,3104,16.156202159892686
New York,2009,3029,15.68855671804302
New York,2010,2974,15.347220279880869
New York,2011,3461,17.780451952271534
New York,2012,3648,18.640528095154174
New York,2013,3960,20.151515991932676
New York,2014,3912,19.811379662555282
New York,2015,4482,22.641176601632136
New York,2016,5451,27.606585044159143
New York,2017,5695,28.691045003428066
North Carolina,1999,1091,13.724373569145998
North Carolina,2000,1225,15.21869009193704
North Carolina,2001,1214,14.786625582421307
North Carolina,2002,1334,16.021712663434382
North Carolina,2003,1444,17.144551244339418
North Carolina,2004,1598,18.683170835734007
North Carolina,2005,1677,19.263889672246226
North Carolina,2006,1730,19.400556448330036
North Carolina,2007,1799,19.73012392908693
North Carolina,2008,1939,20.828300364500627
North Carolina,2009,1937,20.498295900573634
North Carolina,2010,1794,18.813939472179857
North Carolina,2011,2033,21.053392459571636
North Carolina,2012,2084,21.36981542283369
North Carolina,2013,2160,21.933253859135707
North Carolina,2014,2320,23.330736112882146
North Carolina,2015,2551,25.401277452248888
North Carolina,2016,3002,29.58571717473549
North Carolina,2017,3533,34.38971972232418
North Dakota,1999,52,8.071288099972216
North Dakota,2000,60,9.342883836810962
North Dakota,2001,68,10.640595122226012
North Dakota,2002,78,12.222486868661544
North Dakota,2003,96,15.02777790822724
North Dakota,2004,75,11.633227600220255
North Dakota,2005,73,11.29875295818378
North Dakota,2006,63,9.700934061365338
North Dakota,2007,73,11.18222118739871
North Dakota,2008,113,17.184508393795937
North Dakota,2009,93,13.985635398996644
North Dakota,2010,90,13.381088953018997
North Dakota,2011,105,15.35240345531427
North Dakota,2012,116,16.58023978457123
North Dakota,2013,112,15.482593832121683
North Dakota,2014,118,15.957115927094911
North Dakota,2015,136,17.96738655114694
North Dakota,2016,176,23.220467786878327
North Dakota,2017,155,20.519120510780482
Ohio,1999,1090,9.615847764015452
Ohio,2000,1205,10.613803758255425
Ohio,2001,1431,12.56651647732881
Ohio,2002,1620,14.20069918281989
Ohio,2003,1432,12.523188011880938
Ohio,2004,1923,16.79145872719695
Ohio,2005,2123,18.51994012205888
Ohio,2006,2311,20.1285351991989
Ohio,2007,2467,21.45130093836181
Ohio,2008,2643,22.951891082117836
Ohio,2009,2072,17.97223255375016
Ohio,2010,2751,23.84604556111626
Ohio,2011,2959,25.630251700505266
Ohio,2012,3059,26.498097533615294
Ohio,2013,3342,28.883030467708046
Ohio,2014,3776,32.56811207501568
Ohio,2015,4439,38.22301142393591
Ohio,2016,5628,48.45720040160584
Ohio,2017,6518,55.90718412462412
Oklahoma,1999,429,12.481281714165847
Oklahoma,2000,474,13.736526467156661
Oklahoma,2001,496,14.305904069683598
Oklahoma,2002,532,15.247572425969024
Oklahoma,2003,641,18.2887233044556
Oklahoma,2004,811,23.005571546618338
Oklahoma,2005,877,24.7139926004559
Oklahoma,2006,963,26.79398679498844
Oklahoma,2007,1098,30.211738058177684
Oklahoma,2008,1005,27.39183903083585
Oklahoma,2009,1124,30.234787651725377
Oklahoma,2010,1167,31.10879253900795
Oklahoma,2011,1160,30.594686863379952
Oklahoma,2012,1251,32.7931593102689
Oklahoma,2013,1263,32.80035568778425
Oklahoma,2014,1348,34.75972853374027
Oklahoma,2015,1280,32.72537428368502
Oklahoma,2016,1436,36.599405489044265
Oklahoma,2017,1410,35.86997667688325
Oregon,1999,629,18.533026944192606
Oregon,2000,613,17.916647546807607
Oregon,2001,688,19.838884039704297
Oregon,2002,843,23.99368820842574
Oregon,2003,982,27.682433438124406
Oregon,2004,996,27.903356891498806
Oregon,2005,1035,28.644952593295365
Oregon,2006,1059,28.848644862830007
Oregon,2007,1106,29.711878062022603
Oregon,2008,1065,28.258721463998125
Oregon,2009,1168,30.667436853436957
Oregon,2010,1147,29.939385143695997
Oregon,2011,1241,32.051787009805885
Oregon,2012,1246,31.954019038543063
Oregon,2013,1264,32.16231792603939
Oregon,2014,1377,34.68305056698098
Oregon,2015,1505,37.35439542097163
Oregon,2016,1480,36.155188819252146
Oregon,2017,1554,37.511079527350745
Pennsylvania,1999,1489,12.141419404499663
Pennsylvania,2000,1682,13.695892876946882
Pennsylvania,2001,1508,12.261189351628634
Pennsylvania,2002,1664,13.494410970177594
Pennsylvania,2003,1928,15.58022856066002
Pennsylvania,2004,2083,16.78387445951976
Pennsylvania,2005,2166,17.397604335425168
Pennsylvania,2006,2321,18.551957751093475
Pennsylvania,2007,2357,18.760043129792834
Pennsylvania,2008,2522,19.996376548737995
Pennsylvania,2009,2673,21.102312822958936
Pennsylvania,2010,2705,21.29522351679162
Pennsylvania,2011,3086,24.217433947066624
Pennsylvania,2012,3225,25.267292700079352
